,Parameter,Min,Max
0,Strs on during sunlit,10.0,21.5
1,SAGS error (in %),0.93,1.19
2,SAGS error at non-polar points (in %),-0.05,0.03
3,Voc cell temp during sunlit,20.98,96.34
4,North pole Isc overgeneration (in mA),15.21,16.66
5,South pole Isc overgeneration (in mA),18.45,21.23
