STRING,Np,Ns,CC,Vdrop,Panel,Isc,Imp,Vmp,Voc,group no.
S1,4,22,505-510,2,SP11,512.2,498.91,2420,2700,8
S2,4,22,505-510,2,SP21,512.2,498.91,2420,2700,8
S3,4,22,505-510,2,SP11,512.2,498.91,2420,2700,8
S4,4,22,505-510,2,SP21,512.2,498.91,2420,2700,8
S5,4,22,505-510,2,SP11,512.2,498.91,2420,2700,8
S6,4,22,505-510,2,SP21,512.2,498.91,2420,2700,8
S7,4,22,505-510,2,SP11,512.2,498.91,2420,2700,8
S8,4,22,505-510,2,SP21,512.2,498.91,2420,2700,8
S9,4,22,500-505,2,SP11,512.28,495.52,2410,2690,7
S10,4,22,500-505,2,SP21,512.28,495.52,2410,2690,7
S11,4,22,500-505,2,SP11,512.28,495.52,2410,2690,7
S12,4,22,500-505,2,SP21,512.28,495.52,2410,2690,7
S13,3,22,500-505,2,SP11,512.28,495.52,2410,2690,7
S14,3,22,500-505,2,SP21,512.28,495.52,2410,2690,7
S15,4,22,500-505,2,SP22,512.28,495.52,2410,2690,7
S16,4,22,500-505,2,SP12,512.28,495.52,2410,2690,7
S17,4,22,500-505,2,SP22,512.28,495.52,2410,2690,7
S18,4,22,500-505,2,SP12,512.28,495.52,2410,2690,7
S19,4,22,500-505,2,SP22,512.28,495.52,2410,2690,7
S20,4,22,500-505,2,SP12,512.28,495.52,2410,2690,7
S21,3,22,495-500,2,SP22,506.43,491.97,2390,2620,6
S22,3,22,495-500,2,SP12,506.43,491.97,2390,2620,6
S23,3,22,500-505,2,SP22,512.28,495.52,2410,2690,7
S24,3,22,500-505,2,SP12,512.28,495.52,2410,2690,7
S25,3,22,495-500,2,SP22,506.43,491.97,2390,2620,6
S26,3,22,495-500,2,SP12,506.43,491.97,2390,2620,6
S27,3,22,500-505,2,SP22,512.28,495.52,2410,2690,7
S28,3,22,500-505,2,SP12,512.28,495.52,2410,2690,7
S29,3,22,495-500,2,SP22,506.43,491.97,2390,2620,6
S30,3,22,495-500,2,SP12,506.43,491.97,2390,2620,6
