Timestamp,aol,bat_raw_cur,bat_vlt_sel,cell_temp,frame,isc,load_cur,pan_pps,prt_11,prt_12,prt_21,prt_22,q_1,q_2,q_3,q_4,qsunb_4,sc_x_pos,sc_y_pos,sc_z_pos,str_sts_01,str_sts_02,str_sts_03,str_sts_04,str_sts_05,str_sts_06,str_sts_07,str_sts_08,str_sts_09,str_sts_10,str_sts_11,str_sts_12,str_sts_13,str_sts_14,str_sts_15,str_sts_16,str_sts_17,str_sts_18,str_sts_19,str_sts_20,str_sts_21,str_sts_22,str_sts_23,str_sts_24,str_sts_25,str_sts_26,str_sts_27,str_sts_28,str_sts_29,str_sts_30,voc_sel,sags,sun_ang,ecl,pre_ecl,post_ecl,sun_lit,PL,Sidereal (rad),lon,lat,alt,sum_str,exp_sags,pred_cur,diff_sags,sags_error_per,exp_isc,diff_isc,isc_ratio,isc_error_per,sp11_sum_str,sp12_sum_str,sp21_sum_str,sp22_sum_str,gradient,shunt_str_no
2023-12-21 00:00:00,253.73691269999998,3.6249089999999997,39.571732,65.55990487390001,29.0,0.5622724675,23.0269355,0.0,47.77,55.02,51.03,63.87,-0.5085214339999999,-0.399846836,-0.436315846,0.625405374,0.99168241,-879.4464531723829,1935.7027960388132,-6566.3626116000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.442918566,59.17500379999999,14.808014382213457,False,False,True,False,False,1.5587392640147884,114.43368881776667,-72.05861315612951,530.9916926643964,12.0,56.52811580393645,25.215006861344026,2.6468879960635405,4.472983229556702,0.5326568903355233,0.029615577164476714,1.0555997260184162,5.267122058484343,6.0,0.0,6.0,0.0,,
2023-12-21 00:00:30,254.76965874,3.6249089999999997,39.571732,65.55990487390001,29.0,0.5622724675,23.1943439,0.0,47.77,55.02,51.03,63.87,-0.5054085979999999,-0.40085393,-0.443212914,0.62241461,0.992079144,-782.5974998791693,1861.9309388025915,-6599.9329726000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.442918566,59.428896200000004,14.45586281006922,False,False,True,False,False,1.560926898753921,112.79774580075292,-72.98481954052994,531.0548324756228,12.0,56.6188953750868,25.25550011813973,2.810000824913203,4.728340932761936,0.5335122941179995,0.028760173382000542,1.053907236438753,5.114988736666275,6.0,0.0,6.0,0.0,,
2023-12-21 00:01:00,256.3187778,3.8647234999999998,39.571732,65.55990487390001,29.0,0.565279124,23.0269355,0.0,47.77,56.84,51.03,63.87,-0.500693567,-0.40225775799999997,-0.45334489,0.618004759,0.992628468,-639.5358545025932,1748.2746555685126,-6646.0159227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.442918566,59.619315500000006,13.926599478444189,False,False,True,False,False,1.563114533493054,110.09301062982753,-74.3522141741091,530.8112133902578,12.0,56.751307852803464,25.314564204863114,2.868007647196542,4.8105343430126135,0.534759999222249,0.030519124777750983,1.0570706949325637,5.3989477909237245,6.0,0.0,6.0,0.0,,
2023-12-21 00:01:30,258.38426988,3.8647235,39.571732,66.3139352941,29.0,0.5682857805,22.273597700000003,0.0,47.77,56.84,51.03,63.87,-0.494193233,-0.403936248,-0.46655918399999996,0.6122673750000001,0.9933609,-449.9085239364536,1593.8228645479585,-6700.3388705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.438432085,59.8097348,13.206626298189093,False,False,True,False,False,1.565302168232187,105.76345185919055,-76.11659723474834,530.9729051192135,11.5,56.951649407550775,24.337550119536225,2.858085392449226,4.778629101109517,0.536654430772555,0.03163134972744497,1.0589417470790452,5.566099102394305,6.0,0.0,5.5,0.0,,
2023-12-21 00:02:00,260.44976196,3.3850945,39.571732,67.0679657143,29.0,0.5682857805,21.687668300000002,0.0,48.67,55.02,51.03,63.87,-0.48749453200000004,-0.405462148,-0.479407262,0.6066673220000001,0.994078073,-260.4955674927713,1436.2631540667355,-6745.8114504000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4339456040000003,59.93668100000001,12.479866073133195,False,False,True,False,False,1.567489802971447,100.28000736241653,-77.79027107061168,530.9332011227743,11.0,57.139236120056346,23.347827300839022,2.7974448799436615,4.667333648227304,0.5384798408118758,0.029805939688124172,1.0553520065731434,5.244885709070486,6.0,0.0,5.0,0.0,,
2023-12-21 00:02:30,262.50976071,3.3850945,39.571732,67.0679657143,29.0,0.571292437,21.7713725,0.0,47.77,55.93000000000001,49.22,63.87,-0.480627982,-0.406820199,-0.49191964200000005,0.601235118,0.9947342100000001,-71.46812737894886,1276.3575148031448,-6782.58625495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4339456040000003,59.93668100000001,11.743295079020442,False,False,True,False,False,1.5696774377105798,93.20486270108773,-79.32631560001109,531.0049626657164,11.0,57.302985468896,23.414963409681928,2.63369553110401,4.394129750200899,0.539967426910832,0.03132501008916799,1.0580127773046963,5.4831830530898475,6.0,0.0,5.0,0.0,,
2023-12-21 00:03:00,264.56975946,3.6249089999999997,39.571732,67.82199613445,29.0,0.571292437,21.4365557,0.0,47.77,55.93000000000001,49.22,63.87,-0.473593583,-0.4080104010000001,-0.504081065,0.595894468,0.995375088,117.00801915708186,1113.648606676031,-6810.6632841499995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.429459123,59.93668100000001,11.000875252658517,False,False,True,False,False,1.5718650724497127,84.00209480458055,-80.66321989895697,531.1039158916883,11.0,57.47163981106504,23.47764604551914,2.4650411889349684,4.112742226976112,0.541649179503925,0.029643257496074993,1.0547277806701822,5.1888062183597565,6.0,0.0,5.0,0.0,,
2023-12-21 00:03:30,266.11887852,1.706393,39.571732,68.5760265546,29.0,0.5742990935,21.018034699999998,0.0,47.77,55.02,49.22,63.87,-0.468176638,-0.408819128,-0.51300758,0.591988164,0.995832858,258.36024979835145,990.0999514467467,-6826.0751317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424972642,59.93668100000001,10.436277654619204,False,True,True,False,False,1.5740527071888457,75.3751542591571,-81.47463324194942,531.3437784671296,9.0,57.64026929601414,19.252970976898254,2.296411703985868,3.8313961762178113,0.5429336130676795,0.03136548043232046,1.0577703786934456,5.461523583672601,5.0,0.0,4.0,0.0,,
2023-12-21 00:04:00,267.15162456,-0.212123,39.571732,68.5760265546,29.0,0.5742990935,21.018034699999998,0.0,47.77,55.02,49.22,63.87,-0.464544996,-0.409337934,-0.518836518,0.589424652,0.99610752,352.8519179750675,906.628555985747,-6833.3995741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424972642,59.93668100000001,10.061996117106446,False,True,False,False,False,1.5762403419279787,68.73444689129974,-81.89724557736898,531.306104039254,9.0,57.70839197129693,19.275725275344584,2.228289028703074,3.7177384391756254,0.5435752840847453,0.030723809415254655,1.0565217189132992,5.349792427498348,5.0,0.0,4.0,0.0,,
2023-12-21 00:06:00,276.43535226,1.226764,39.53228119,71.5921482353,29.0,0.5742990935,19.6787675,0.0,45.97,53.2,47.42,60.17,-0.42984603,-0.412816986,-0.56824516,0.56732962,0.998304816,1176.4735108143088,141.09595474102414,-6799.8292131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407026718,59.93668100000001,6.605999441511528,False,True,False,False,False,1.5849908808846374,6.838890981857968,-80.11517691775505,531.2949312109367,9.0,58.29194589616344,19.450788198012138,1.6447351038365667,2.744121089782343,0.5495048112703133,0.024794282229686715,1.0451211376518592,4.317311747539215,5.0,0.0,4.0,0.0,,
