,Parameter,Min,Max
0,Strs on during sunlit,8.0,30.0
1,SAGS error (in %),1.64,1.99
2,SAGS error at non-polar points (in %),0.86,1.25
3,Voc cell temp during sunlit,-3.06,74.61
4,North pole Isc overgeneration (in mA),9.24,13.13
5,South pole Isc overgeneration (in mA),25.08,28.37
